Id,Type
Beryllium Disease,Disease
Kidney Failure,Disease
Small Fiber Neuropathy,Disease
Arthritis Reactive,Disease
Multiple Sclerosis Acute Fulminating,Disease
Aortic Aneurysm Abdominal,Disease
Chronic glomerulonephritis,Disease
Endometrioma,Disease
Acute Chest Syndrome,Disease
Jaundice Obstructive,Disease
Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome ORPHA:529977,Disease
Infectious Otitis Media,Disease
CXCL10,Gene
Congestive heart failure,Disease
MELAS Syndrome,Disease
Adenovirus Infections,Disease
Quebec platelet disorder,Disease
Arthritis Gouty,Disease
Idiopathic crescentic glomerulonephritis,Disease
Malignant neoplasm of tongue,Disease
Promyelocytic leukemia,Disease
Allodynia,Disease
Chronic small plaque psoriasis,Disease
Carotid Stenosis,Disease
Cardiomyopathy Dilated,Disease
Immune System Diseases,Disease
External Carotid Artery Diseases,Disease
Myocarditis,Disease
Thrombocytopenia,Disease
Unipolar Depression,Disease
Meningitis Pneumococcal,Disease
Recurrent aphthous ulcer,Disease
Lymphomatoid Papulosis,Disease
Painful Bladder Syndrome,Disease
Neurenteric Cyst,Disease
MERRF Syndrome,Disease
DOSAGE-SENSITIVE SEX REVERSAL,Disease
Variola virus chemokine binding protein (gene: G5R),Pathogen
Mammary Tumorigenesis,Disease
Congenital infectious disease,Disease
NANOS1,Gene
Shock,Disease
Abscess,Disease
T-cell large granular lymphocyte leukemia ORPHA:86872,Disease
Fluid overload,Disease
Cancer of Digestive System,Disease
Constitutional Symptom,Disease
Familial cavitary optic disc anomaly ORPHA:464760,Disease
Post-Traumatic Stress Disorder,Disease
Diphtheria,Disease
Erythema Multiforme,Disease
Sepsis,Disease
Angiogenic Switch,Disease
Peripheral Arterial Diseases,Disease
Airway Obstruction,Disease
Inflammatory polyarthritis,Disease
Seborrheic keratosis,Disease
Optic Atrophy Hereditary Leber,Disease
Malignant neoplasm of liver,Disease
Brain Abscess,Disease
Hypoplastic Anemia,Disease
Asphyxia Neonatorum,Disease
Hamartoma Syndrome Multiple,Disease
Lupus Erythematosus,Disease
Renal glomerular disease,Disease
Synovitis,Disease
HIV Infections,Disease
Adenocarcinoma,Disease
Malignant neoplasm of vulva,Disease
Respiratory Tract Infections,Disease
SNORD14C,Gene
Lymphoproliferative Disorder of the Skin,Disease
Avellino corneal dystrophy,Disease
Cholera,Disease
