Source,Target,Pvalue_Adjusted
CXCL8,Epstein-Barr Virus Infections,0.0050717829061455
CXCL8,Kaposi Sarcoma,0.0050717829061455
CXCL8,Renal interstitial fibrosis,0.0050717829061455
CXCL8,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,0.0052866579818966
CXCL8,Vascular Diseases,0.0057123722665394
CXCL8,Charcot-Marie-Tooth disease type 1D ORPHA:101084,0.0029348234721257
CXCL8,Charcot-Marie-Tooth disease type 4E ORPHA:99951,0.0029348234721257
EGR1,Epstein-Barr Virus Infections,0.0050717829061455
EGR1,Kaposi Sarcoma,0.0050717829061455
EGR1,Renal interstitial fibrosis,0.0050717829061455
EGR1,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,0.0052866579818966
EGR1,Vascular Diseases,0.0057123722665394
EGR1,Charcot-Marie-Tooth disease type 1D ORPHA:101084,0.0029348234721257
EGR1,Charcot-Marie-Tooth disease type 4E ORPHA:99951,0.0029348234721257
SLC12A3,Epstein-Barr Virus Infections,0.0050717829061455
SLC12A3,Kaposi Sarcoma,0.0050717829061455
SLC12A3,Vascular Diseases,0.0057123722665394
