Id,Type
PLSCR4,Gene
RHOU,Gene
KRT13,Gene
GPNMB,Gene
SNCG,Gene
CA11,Gene
Myelodysplastic syndrome ORPHA:52688,Disease
AMOTL2,Gene
PLK2,Gene
LAMA3,Gene
EHF,Gene
Auriculocondylar syndrome ORPHA:137888,Disease
GAL,Gene
PCDH7,Gene
GLI2,Gene
CASP7,Gene
KRT23,Gene
ME1,Gene
PADI3,Gene
CYP4F2,Gene
STN1,Gene
Ulnar-mammary syndrome ORPHA:3138,Disease
PURPL,Gene
LAMP3,Gene
PRR15,Gene
ITGA2,Gene
KCNN4,Gene
LZTS1,Gene
Atrial septal defect ostium primum type ORPHA:99106,Disease
CTSD,Gene
SORBS1,Gene
Breast Carcinoma,Disease
IQGAP2,Gene
Unverricht-Lundborg disease ORPHA:308,Disease
SIX2,Gene
SULT1A1,Gene
NEU1,Gene
COL5A2,Gene
MIR17HG,Gene
TET1,Gene
PDGFB,Gene
NRIP1,Gene
SUSD4,Gene
PBX1,Gene
Rieger anomaly ORPHA:91483,Disease
NGFR,Gene
Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Disease
TGM2,Gene
Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960,Disease
CYP24A1,Gene
RGL1,Gene
WNT16,Gene
Axenfeld-Rieger syndrome ORPHA:782,Disease
HPSE,Gene
TRAK2,Gene
HTATIP2,Gene
CORO1A,Gene
PLEKHD1,Gene
Polysyndactyly ORPHA:93338,Disease
ACSL5,Gene
KAT2B,Gene
Axenfeld anomaly ORPHA:98978,Disease
Papillary renal cell carcinoma ORPHA:319298,Disease
Congenital Anomalies Of Kidney And Urinary Tract,Disease
CA2,Gene
MT1E,Gene
Pallister-Hall syndrome ORPHA:672,Disease
OGFR,Gene
PRSS23,Gene
KITLG,Gene
PRMT6,Gene
SHCBP1,Gene
ID2,Gene
CEACAM19,Gene
E2F7,Gene
NR4A2,Gene
TIMP2,Gene
CPA4,Gene
Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043,Disease
IL22RA1,Gene
OIP5,Gene
TNFSF9,Gene
ZNF703,Gene
Severe generalized junctional epidermolysis bullosa ORPHA:79404,Disease
Familial porencephaly ORPHA:99810,Disease
DEPDC1B,Gene
20p12.3 microdeletion syndrome ORPHA:261295,Disease
TPM4,Gene
CENPE,Gene
RHOBTB3,Gene
ADAM15,Gene
Autosomal recessive nail dysplasia ORPHA:280654,Disease
TSC22D1,Gene
Laryngo-onycho-cutaneous syndrome ORPHA:2407,Disease
ACTA2,Gene
Brachydactyly type A2 ORPHA:93396,Disease
ENG,Gene
SKAP1,Gene
MIR100HG,Gene
Congenital short bowel syndrome ORPHA:2301,Disease
SLC22A18,Gene
GRAMD1B,Gene
VGLL3,Gene
AANAT,Gene
RPSAP52,Gene
FAM111B,Gene
Kindler epidermolysis bullosa ORPHA:2908,Disease
COL12A1,Gene
S100A14,Gene
FGF19,Gene
RGS6,Gene
SETD7,Gene
Mammary Neoplasms,Disease
Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584,Disease
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Disease
Anomalous Pulmonary Artery,Disease
FHIT,Gene
ESCO2,Gene
Hereditary arterial and articular multiple calcification syndrome ORPHA:289601,Disease
SMAD7,Gene
CPEB4,Gene
SNAI2,Gene
SIX2-related frontonasal dysplasia ORPHA:488437,Disease
Greig cephalopolysyndactyly syndrome ORPHA:380,Disease
Tibial hemimelia ORPHA:93322,Disease
CCND1,Gene
H2AX,Gene
WNT9A,Gene
Familial progressive hyper- and hypopigmentation ORPHA:280628,Disease
AFAP1L2,Gene
Waardenburg syndrome type 2 ORPHA:895,Disease
BMF,Gene
CLSPN,Gene
Colorectal Carcinoma,Disease
CHST11,Gene
EFR3B,Gene
NOLC1,Gene
ADAMTS14,Gene
TFAP4,Gene
C1QL1,Gene
P3H2,Gene
SMAD6,Gene
Sensorineural deafness with dilated cardiomyopathy ORPHA:217622,Disease
MKNK2,Gene
ISL1,Gene
Familial progressive hyperpigmentation ORPHA:79146,Disease
ENC1,Gene
Arnold-Chiari malformation type I ORPHA:268882,Disease
Atrial septal defect ostium secundum type ORPHA:99103,Disease
HYAL1,Gene
ADAMTS15,Gene
APOBEC3B,Gene
RBM24,Gene
LRIG1,Gene
ICA1,Gene
TRIB3,Gene
MICB,Gene
DOCK11,Gene
FZD1,Gene
BBC3,Gene
LIFR,Gene
Autosomal recessive infantile hypercalcemia ORPHA:300547,Disease
ABCC2,Gene
Chondrosarcoma ORPHA:55880,Disease
Peters anomaly ORPHA:708,Disease
ABCB1,Gene
Isolated hyperchlorhidrosis ORPHA:542657,Disease
PDE4B,Gene
B3GLCT,Gene
CNTNAP1,Gene
SPC25,Gene
Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289,Disease
Ovarian Carcinoma,Disease
RTKN2,Gene
THBS1,Gene
SORT1,Gene
P2RX7,Gene
Branchiootic syndrome ORPHA:52429,Disease
